key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,220,0,角色编号
Name,str,格拉尼,1,角色姓名
Sex,int,1,0,角色性别
Profession,int,1,0,角色职业为先锋
Race,int,18,0,角色种族为库兰塔
Nation,int,161,0,角色势力为维多利亚
Birthplace,int,13,0,角色出身地为维多利亚
Hp,int,2000,0,角色初始体力
Mp,int,2000,0,角色初始气力
Dormitory,str,无,1,角色初始宿舍
Token,str,一支红色的警哨。吹响时能感到一股正义感从肺腑之中飘然而出。,1,角色信物
Introduce_1,str,格拉尼，维多利亚骑警，在突袭战，机动作战，纵深作战等高速运动战领域表现出了较高的天赋。现以合约干员身份为罗德岛各行动组提供支援，并主动承担罗德岛及周边地区的义务巡逻与防卫协助等工作。,1,角色介绍
TextColor,str,#415567,1,角色字体颜色为#415567
A|40,int,1,0,角色话术技能为1
A|42,int,2,0,角色战斗技能为2
E|81,int,100,0,角色战斗经验为100
T|0,int,1,0,角色有处女素质
T|1,int,1,0,角色有Ａ处女素质
T|4,int,1,0,角色有无接吻经验素质
T|104,int,1,0,角色有少女素质
T|111,int,1,0,角色有兽耳素质
T|113,int,1,0,角色有兽尾素质
T|123,int,1,0,角色有普乳素质
T|127,int,1,0,角色有普臀素质
T|129,int,1,0,角色有细腿素质
T|131,int,1,0,角色有小足素质
C|0,str,半透明遮光罩,1,角色帽子为半透明遮光罩
C|3,str,黑色絲帶,1,角色脖子为黑色絲帶
C|5,str,維多利亞騎警制服,1,角色上衣为維多利亞騎警制服
C|5,str,洋紅色襯衫,1,角色上衣为洋紅色襯衫
C|7,str,雙色女士手套,1,角色手套为雙色女士手套
C|8,str,開口馬裤,1,角色下衣为開口馬裤
C|10,str,黑色短袜,1,角色袜子为黑色短袜
C|11,str,深灰色運動鞋,1,角色鞋子为深灰色運動鞋
C|12,str,摺疊騎槍,1,角色武器为摺疊騎槍
