cid,second_behavior_id,need_examine_id,behavior_id,need_value_1,need_value_2,need_value_3,todo
序号,二段行为id,需要的检查状态id,进行的一段行为id,需要数值1,需要数值2,需要数值3,未实装
int,str,str,str,int,int,int,int
0,0,0,0,0,0,0,0
身体管理需要满足的条件,,,,,,,

1,ask_give_pan_everyday,0,0,20,2,100,0
2,ask_give_socks_everyday,0,0,20,2,100,0
3,ask_not_wear_corset,0,0,4,3,150,0
4,ask_not_wear_cloth_in_sleep,0,0,50,3,150,0
5,ask_wear_different_socks_everyday,0,0,10,1,50,0
11,ask_equip_nipple_clamp_in_day,examine_nipple_and_areola,0,4,3,150,0
12,ask_equip_clit_clamp_in_day,examine_cilitoris,0,4,3,150,0
13,ask_equip_v_vibrator_in_day,examine_vagina_firmness,0,6,4,200,0
14,ask_equip_a_vibrator_in_day,examine_intestine_firmness,0,6,4,200,0
15,ask_equip_nipple_clamp_in_sleep,examine_nipple_and_areola,0,3,2,100,0
16,ask_equip_clit_clamp_in_sleep,examine_cilitoris,0,3,2,100,0
17,ask_equip_v_vibrator_in_sleep,examine_vagina_firmness,0,4,3,150,0
18,ask_equip_a_vibrator_in_sleep,examine_intestine_firmness,0,4,3,150,0
21,ask_not_wash_semen,0,0,500,3,150,0
22,ask_masturbation_before_sleep,0,0,50,2,100,0
23,ask_not_masturbation,0,0,50,2,100,0
24,ask_not_lock_door_before_sleeping,0,0,100,4,200,0
25,ask_not_active_h_for_player,0,0,10,2,100,0
31,ask_sucking_and_swallowing_exercises,examine_sucking_and_swallowing,exercise_sucking_and_swallowing,50,2,100,0
32,ask_armpit_clamping_exercises,examine_armpit_clamping,exercise_armpit_flexibility,50,2,100,0
33,ask_breast_clamping_exercises,examine_breast_clamping,exercise_breast_clamping,50,2,100,0
35,ask_hands_flexibility_exercises,examine_hands_flexibility,exercise_hands_clamping,50,2,100,0
35,ask_foots_flexibility_exercises,examine_foots_flexibility,exercise_foots_flexibility,50,2,100,0
36,ask_vagina_firmness_exercises,examine_vagina_firmness,exercise_vagina_firmness,50,2,100,0
37,ask_intestine_firmness_exercises,examine_intestine_firmness,exercise_intestine_firmness,50,2,100,0
38,ask_tail_flexibility_exercises,examine_tail_flexibility,exercise_tail_flexibility,50,2,100,0
39,ask_tentacle_flexibility_exercises,examine_tentacle_flexibility,exercise_tentacle_flexibility,50,2,100,0
